Generated at : 05/08/24 12:45:02
Account : SVUSG
Start date : 29/07/24 12:45
End date : 05/08/24 12:45



Closing Ref,Closed,Opening Ref,Opened,Market,Period,Direction,Size,Opening,Closing,Trade Ccy.,P/L,Funding,Borrowing,Dividends,LR Prem.,Others,Comm. Ccy.,Comm.,Total
76KAVLAK,30-07-2024 18:18:22,76KWQXAG,30-07-2024 18:13:31,US Tech 100 Cash (A$1),-,BUY,5,18727.4,18728.0,AUD,3.00,0.00,0.00,0.00,0.00,0.00,-,0.00,3.00
76LD4HAK,30-07-2024 20:13:53,76LD3PAK,30-07-2024 18:19:43,US Tech 100 Cash (A$1),-,BUY,5,18744.7,18769.6,AUD,124.50,0.00,0.00,0.00,0.00,0.00,-,0.00,124.50
766AKTAK,30-07-2024 20:42:06,7648V7A4,30-07-2024 20:28:31,US Tech 100 Cash (A$1),-,BUY,10,18804.3,18764.6,AUD,-397.00,0.00,0.00,0.00,0.00,0.00,-,0.00,-397.00
767MYYAE,30-07-2024 20:50:07,767NHQAL,30-07-2024 20:48:47,US Tech 100 Cash (A$1),-,BUY,10,18850.9,18855.8,AUD,49.00,0.00,0.00,0.00,0.00,0.00,-,0.00,49.00
768KFUA4,30-07-2024 20:51:23,768G2FAP,30-07-2024 20:50:26,US Tech 100 Cash (A$1),-,BUY,10,18848.4,18853.6,AUD,52.00,0.00,0.00,0.00,0.00,0.00,-,0.00,52.00
768YK2AL,30-07-2024 20:55:45,768HBBAP,30-07-2024 20:51:56,US Tech 100 Cash (A$1),-,BUY,10,18859.0,18851.3,AUD,-77.00,0.00,0.00,0.00,0.00,0.00,-,0.00,-77.00
77KD7PAK,30-07-2024 21:53:37,7687W7AM,30-07-2024 20:56:38,US Tech 100 Cash (A$1),-,BUY,10,18852.5,18707.8,AUD,"-1,447.00",0.00,0.00,15.60,0.00,0.00,-,0.00,"-1,431.40"
798H2MA4,31-07-2024 09:38:51,77QYKGAR,30-07-2024 23:15:44,US Tech 100 Cash (A$1),-,BUY,10,18843.1,19096.1,AUD,"2,530.00",-44.84,0.00,0.00,0.00,0.00,-,0.00,"2,485.16"
8CEFPSAS,31-07-2024 15:22:04,8BT57SA7,31-07-2024 14:41:16,Mobileye Global Inc,-,BUY,500,20.5,20.31,USD,-146.19,0.00,0.00,0.00,0.00,0.00,AUD,-46.18,-192.37
8DZDJJAX,31-07-2024 19:35:55,8CU5MMAF,31-07-2024 16:07:46,Tesla Motors Inc (All Sessions),-,BUY,100,232.03,231.05,USD,-150.82,0.00,0.00,0.00,0.00,0.00,AUD,-46.18,-197.00
864657~6800,01-08-2024 14:49:38,8D2K4UAK,31-07-2024 19:41:58,Tesla Motors Inc (All Sessions),-,BUY,100,231.96,228.24,USD,-570.69,-7.87,0.00,0.00,0.00,0.00,AUD,-46.04,-624.60
8KHFBFAK,01-08-2024 15:01:55,8KGSVEA2,01-08-2024 15:00:44,US Tech 100 Cash (A$1),-,SELL,10,19481.6,19482.0,AUD,-4.00,0.00,0.00,0.00,0.00,0.00,-,0.00,-4.00
8KKD4UAJ,01-08-2024 15:05:42,8KJM4NAG,01-08-2024 15:02:34,Tesla Motors Inc (All Sessions),-,BUY,90,231.4,230.34,USD,-146.18,0.00,0.00,0.00,0.00,0.00,AUD,-45.98,-192.16
8KVDTRA6,01-08-2024 15:20:03,8KLWEMAN,01-08-2024 15:06:10,US Tech 100 Cash (A$1),-,SELL,10,19430.9,19407.7,AUD,232.00,0.00,0.00,0.00,0.00,0.00,-,0.00,232.00
864654~7697,01-08-2024 15:21:33,64CXT3A4,23-07-2024 18:24:53,Ouster Inc,-,BUY,1000,14.63,13.001,USD,"-2,501.64",-41.81,0.00,0.00,0.00,0.00,AUD,-61.09,"-2,604.54"
8LNDC4AB,01-08-2024 16:10:55,8KVSHSAM,01-08-2024 15:21:10,Tesla Motors Inc (All Sessions),-,SELL,90,227.44,224.27,USD,435.31,0.00,0.00,0.00,0.00,0.00,AUD,-43.84,391.47
8LNDC4AB,01-08-2024 16:10:55,8KWGDLAR,01-08-2024 15:22:20,Tesla Motors Inc (All Sessions),-,SELL,10,227.19,224.27,USD,44.55,0.00,0.00,0.00,0.00,0.00,AUD,-4.40,40.15
8L9B3SAR,01-08-2024 17:06:55,8KWGDLAR,01-08-2024 15:22:20,Tesla Motors Inc (All Sessions),-,SELL,100,227.19,223.36,USD,584.12,0.00,0.00,0.00,0.00,0.00,AUD,-44.06,540.06
8M3EHNAR,01-08-2024 18:52:41,8MVXULA3,01-08-2024 18:34:27,Meta Platforms Inc (All Sessions),-,SELL,100,496.6,496.53,USD,10.71,0.00,0.00,0.00,0.00,0.00,AUD,-46.36,-35.65
8NMU29AK,01-08-2024 20:30:01,8NMFLNBC,01-08-2024 20:24:52,US Tech 100 Cash (A$1),-,SELL,5,18824.4,18850.2,AUD,-129.00,0.00,0.00,0.00,0.00,0.00,-,0.00,-129.00
8NNTQGAK,01-08-2024 20:38:51,8NNR2YAN,01-08-2024 20:32:17,US Tech 100 Cash (A$1),-,SELL,5,18858.1,18880.0,AUD,-109.50,0.00,0.00,0.00,0.00,0.00,-,0.00,-109.50
8NQ2E8AK,01-08-2024 20:49:22,8NRF4EAT,01-08-2024 20:40:46,US Tech 100 Cash (A$1),-,SELL,5,18846.2,18900.0,AUD,-269.00,0.00,0.00,0.00,0.00,0.00,-,0.00,-269.00
8NUR73AS,01-08-2024 20:59:18,8M5HSJA3,01-08-2024 19:01:00,Meta Platforms Inc (All Sessions),-,SELL,100,497.05,497.48,USD,-66.44,0.00,0.00,0.00,0.00,0.00,AUD,-46.36,-112.80
